支払ID,支払日,取引先ID,取引先名,支払金額,支払先口座名義,関連請求書ID,支払方法
PAY00001,2024-01-31,V00026,取引先Z,50000,取引先Z株式会社,INV00001,銀行振込
PAY00002,2024-02-28,V00001,サプライヤーX,125000,サプライヤーX株式会社,INV00002,銀行振込
PAY00003,2024-03-22,V00001,サプライヤーX,180000,サプライヤーX株式会社,INV00003,銀行振込
PAY00004,2024-04-30,V00027,取引先Y,80000,取引先Y有限会社,INV00004,銀行振込
PAY00005,2024-05-31,V00030,取引先W,150000,取引先W株式会社,INV00005,銀行振込
PAY00006,2024-06-28,V00001,サプライヤーX,95000,サプライヤーX株式会社,INV00006,銀行振込
PAY00007,2024-07-31,V00035,取引先V,300000,取引先V株式会社,INV00007,銀行振込
PAY00008,2024-08-30,V00026,取引先Z,30000,取引先Z株式会社,INV00008,銀行振込
PAY00009,2024-09-30,V00001,サプライヤーX,210000,サプライヤーX株式会社,INV00009,銀行振込
PAY00010,2024-10-31,V00040,取引先U,500000,取引先U株式会社,INV00010,銀行振込
PAY00011,2024-11-29,V00027,取引先Y,120000,取引先Y有限会社,INV00011,銀行振込
PAY00012,2024-12-27,V00042,取引先T,800000,取引先T株式会社,INV00012,銀行振込
PAY00013,2025-01-31,V00001,サプライヤーX,165000,サプライヤーX株式会社,INV00013,銀行振込
PAY00014,2025-01-31,V00026,取引先Z,75000,取引先Z株式会社,INV00014,銀行振込
PAY00015,2025-01-25,V00055,コンサルY,5000000,株式会社Yコンサルティング,INV00015,銀行振込
PAY00016,2025-02-28,V00030,取引先W,450000,取引先W株式会社,INV00016,銀行振込
PAY00017,2025-02-28,V00056,デザイン事務所S,300000,デザイン事務所S,INV00017,銀行振込
PAY00018,2025-02-20,V00055,コンサルY,4900000,株式会社Yコンサルティング,INV00018,銀行振込
PAY00019,2025-03-31,V00045,イベント会社R,1200000,イベント会社R株式会社,INV00019,銀行振込
PAY00020,2025-03-25,V00001,サプライヤーX,250000,サプライヤーX株式会社,INV00020,銀行振込