稟議ID,申請日,申請者ID,申請者名,取引先ID,取引先名,件名,申請金額,承認状況,承認日,選定理由コメント
AP00001,2024-01-10,EMP003,担当者C,V00026,取引先Z,部品AAA調達,50000,承認済,2024-01-12,3社見積比較の結果、価格・納期最良のため
AP00002,2024-02-05,EMP001,担当者A,V00001,サプライヤーX,部品BBB調達,125000,承認済,2024-02-06,品質・納期・過去実績を総合的に判断
AP00003,2024-03-15,EMP001,担当者A,V00001,サプライヤーX,部品CCC緊急調達,180000,承認済,2024-03-15,緊急対応可能なのはX社のみ
AP00004,2024-04-08,EMP003,担当者C,V00027,取引先Y,サービス利用料,80000,承認済,2024-04-09,標準価格での契約のため
AP00005,2024-05-12,EMP004,担当者D,V00030,取引先W,ソフトウェアライセンス購入,150000,承認済,2024-05-14,既存システムとの互換性を考慮
AP00006,2024-06-20,EMP001,担当者A,V00001,サプライヤーX,部品DDD調達,95000,承認済,2024-06-21,従来からの取引実績に基づき選定
AP00007,2024-07-15,EMP005,担当者E,V00035,取引先V,外部研修委託,300000,承認済,2024-07-18,研修内容と講師の評価が高いため
AP00008,2024-08-10,EMP003,担当者C,V00026,取引先Z,部品EEE追加調達,30000,承認済,2024-08-12,前回調達分の追加発注
AP00009,2024-09-05,EMP001,担当者A,V00001,サプライヤーX,部品FFF調達,210000,承認済,2024-09-06,特殊仕様のため対応可能なのはX社のみ
AP00010,2024-10-18,EMP004,担当者D,V00040,取引先U,オフィス家具購入,500000,承認済,2024-10-21,相見積もりの結果、デザイン・価格で決定
AP00011,2024-11-11,EMP003,担当者C,V00027,取引先Y,システム保守契約更新,120000,承認済,2024-11-13,現行契約の更新
AP00012,2024-12-09,EMP005,担当者E,V00042,取引先T,広告出稿契約,800000,承認済,2024-12-11,広告代理店からの提案内容を評価
AP00013,2025-01-08,EMP001,担当者A,V00001,サプライヤーX,部品GGG調達,165000,承認済,2025-01-09,品質要求を満たすのはX社のみ
AP00014,2025-01-12,EMP003,担当者C,V00026,取引先Z,試作品製作依頼,75000,承認済,2025-01-14,技術力とコストを評価
AP00015,2025-01-15,EMP002,担当者B,V00055,コンサルY,新プロジェクト調査業務委託,5000000,承認済,2025-01-18,特殊な専門知識が必要なため
AP00016,2025-02-05,EMP004,担当者D,V00030,取引先W,経理システム改修,450000,承認済,2025-02-07,保守ベンダーによる改修
AP00017,2025-02-08,EMP002,担当者B,V00056,デザイン事務所S,プロジェクトロゴ作成,300000,承認済,2025-02-10,ポートフォリオを評価し決定
AP00018,2025-02-10,EMP002,担当者B,V00055,コンサルY,新プロジェクト追加調査委託,4900000,承認済,2025-02-12,緊急追加調査が必要
AP00019,2025-03-01,EMP005,担当者E,V00045,イベント会社R,展示会出展準備,1200000,承認済,2025-03-04,過去の出展実績と提案内容を評価
AP00020,2025-03-18,EMP001,担当者A,V00001,サプライヤーX,部品HHH緊急手配,250000,承認済,2025-03-18,納期最優先のためX社に依頼